_id,date,user_count
1679,2021-09-08,10425
1680,2021-09-09,9725
1681,2021-09-10,9969
1682,2021-09-11,7920
1683,2021-09-12,8686
1684,2021-09-13,11003
1685,2021-09-14,10032
1686,2021-09-15,10910
1687,2021-09-16,10630
1688,2021-09-17,9787
1689,2021-09-18,10246
1690,2021-09-19,9432
1691,2021-09-20,11668
1692,2021-09-21,11374
1693,2021-09-22,10795
1694,2021-09-23,10421
1695,2021-09-24,9671
1696,2021-09-25,9448
1697,2021-09-26,9654
1698,2021-09-27,12077
1699,2021-09-28,11704
1700,2021-09-29,11055
1701,2021-09-30,9901
1702,2021-10-01,10706
1703,2021-10-02,8805
1704,2021-10-03,9986
1705,2021-10-04,12071
1706,2021-10-05,11493
1707,2021-10-06,10691
1708,2021-10-07,10426
1709,2021-10-08,9993
1710,2021-10-09,10101
1711,2021-10-10,9144
1712,2021-10-11,10064
1713,2021-10-12,11944
1714,2021-10-13,11042
1715,2021-10-14,10467
1716,2021-10-15,10448
1717,2021-10-16,9076
1718,2021-10-17,9653
1719,2021-10-18,12025
1720,2021-10-19,11534
1721,2021-10-20,11082
1722,2021-10-21,10229
1723,2021-10-22,10485
1724,2021-10-23,8552
1725,2021-10-24,9534
1726,2021-10-25,12154
1727,2021-10-26,12078
1728,2021-10-27,10257
1729,2021-10-28,10378
1730,2021-10-29,9586
1731,2021-10-30,9588
1732,2021-10-31,9226
1733,2021-11-01,12248
1734,2021-11-02,11313
1735,2021-11-03,10885
1736,2021-11-04,10249
1737,2021-11-05,10746
1738,2021-11-06,9096
1739,2021-11-07,9944
1740,2021-11-08,11084
1741,2021-11-09,12369
1742,2021-11-10,10743
1743,2021-11-11,8322
1744,2021-11-12,10542
1745,2021-11-13,9265
1746,2021-11-14,9604
1747,2021-11-15,12172
1748,2021-11-16,11613
1749,2021-11-17,10896
1750,2021-11-18,9809
1751,2021-11-19,10147
1752,2021-11-20,9251
1753,2021-11-21,9670
1754,2021-11-22,10785
1755,2021-11-23,11949
1756,2021-11-24,9569
1757,2021-11-25,6064
1758,2021-11-26,9995
1759,2021-11-27,9513
1760,2021-11-28,10016
1761,2021-11-29,11080
1762,2021-11-30,11888
1763,2021-12-01,10841
1764,2021-12-02,9884
1765,2021-12-03,10342
1766,2021-12-04,9364
1767,2021-12-05,9404
1768,2021-12-06,11640
1769,2021-12-07,11355
1770,2021-12-08,10253
1771,2021-12-09,10002
1772,2021-12-10,10212
1773,2021-12-11,9328
1774,2021-12-12,9700
1775,2021-12-13,10796
1776,2021-12-14,11231
1777,2021-12-15,10434
1778,2021-12-16,9778
1779,2021-12-17,10212
1780,2021-12-18,9305
1781,2021-12-19,9550
1782,2021-12-20,11124
1783,2021-12-21,10618
1784,2021-12-22,10120
1785,2021-12-23,9518
1786,2021-12-24,8828
1787,2021-12-25,7876
1788,2021-12-26,9906
1789,2021-12-27,12381
1790,2021-12-28,11889
1791,2021-12-29,11024
1792,2021-12-30,10649
